"","fcast","h","date"
"1",8,1,2020-05-11
"2",13,1,2020-05-18
"3",16,1,2020-05-25
"4",26,1,2020-06-01
"5",14,1,2020-06-08
"6",29,1,2020-06-15
"7",29,1,2020-06-22
"8",27,1,2020-06-29
"9",38,1,2020-07-06
"10",26,1,2020-07-13
"11",44,1,2020-07-20
"12",74,1,2020-07-27
"13",122,1,2020-08-03
"14",185,1,2020-08-10
"15",231,1,2020-08-17
"16",259,1,2020-08-24
"17",250,1,2020-08-31
"18",212,1,2020-09-07
"19",187,1,2020-09-14
"20",150,1,2020-09-21
"21",84,1,2020-09-28
"22",65,1,2020-10-05
"23",69,1,2020-10-12
"24",16,2,2020-05-11
"25",18,2,2020-05-18
"26",19,2,2020-05-25
"27",23,2,2020-06-01
"28",29,2,2020-06-08
"29",32,2,2020-06-15
"30",33,2,2020-06-22
"31",33,2,2020-06-29
"32",56,2,2020-07-06
"33",91,2,2020-07-13
"34",141,2,2020-07-20
"35",217,2,2020-07-27
"36",282,2,2020-08-03
"37",316,2,2020-08-10
"38",301,2,2020-08-17
"39",259,2,2020-08-24
"40",229,2,2020-08-31
"41",185,2,2020-09-07
"42",116,2,2020-09-14
"43",79,2,2020-09-21
"44",59,2,2020-09-28
"45",48,2,2020-10-05
"46",46,2,2020-10-12
"47",19,3,2020-05-11
"48",23,3,2020-05-18
"49",29,3,2020-05-25
"50",33,3,2020-06-01
"51",32,3,2020-06-08
"52",35,3,2020-06-15
"53",60,3,2020-06-22
"54",97,3,2020-06-29
"55",152,3,2020-07-06
"56",229,3,2020-07-13
"57",289,3,2020-07-20
"58",319,3,2020-07-27
"59",297,3,2020-08-03
"60",256,3,2020-08-10
"61",227,3,2020-08-17
"62",174,3,2020-08-24
"63",106,3,2020-08-31
"64",76,3,2020-09-07
"65",57,3,2020-09-14
"66",50,3,2020-09-21
"67",44,3,2020-09-28
"68",53,3,2020-10-05
"69",58,3,2020-10-12
"70",107,4,2020-05-11
"71",84,4,2020-05-18
"72",75,4,2020-05-25
"73",56,4,2020-06-01
"74",95,4,2020-06-08
"75",114,4,2020-06-15
"76",135,4,2020-06-22
"77",232,4,2020-06-29
"78",245,4,2020-07-06
"79",388,4,2020-07-13
"80",430,4,2020-07-20
"81",443,4,2020-07-27
"82",354,4,2020-08-03
"83",287,4,2020-08-10
"84",225,4,2020-08-17
"85",158,4,2020-08-24
"86",141,4,2020-08-31
"87",103,4,2020-09-07
"88",66,4,2020-09-14
"89",93,4,2020-09-21
"90",105,4,2020-09-28
"91",57,4,2020-10-05
"92",41,4,2020-10-12
